id,latitude,longitude,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
18877694,40.75364445,-73.81079993,87,9,9,9,10,8,9,2.7
2116059,40.83454067,-73.94224169,88,9,9,9,9,8,9,2.73
17893317,40.80371687,-73.94575114,94,9,10,10,10,8,9,2.73
7473102,40.6578016,-73.92333419,88,9,8,10,10,8,9,2.85
10356916,40.68651133,-73.925789,83,9,8,9,9,8,9,2.93
5262076,40.81616748,-73.95371345,87,9,9,10,9,8,9,2.99
20094293,40.6479619,-73.94749605,93,9,9,10,10,8,9,3
118812,40.67333865,-73.94268891,97,10,10,10,10,8,10,0.01
74860,40.72488266,-73.95017801,100,10,10,10,10,8,10,0.01
842494,40.77885614,-73.98443565,80,10,10,10,10,8,10,0.02
5195409,40.79148104,-73.97828107,80,10,6,8,10,8,8,0.03
4758924,40.69684912,-73.92932655,100,10,10,10,,8,8,0.03
4737930,40.79264477,-73.93897607,100,10,10,10,10,8,10,0.03
4707057,40.82502445,-73.94404129,100,10,10,10,10,8,10,0.03
8009966,40.65290265,-74.00399476,80,10,8,10,10,8,8,0.04
3041280,40.66020488,-73.95043292,80,10,10,8,8,8,8,0.04
7178556,40.71049842,-73.94872206,80,10,10,10,10,8,10,0.04
6823578,40.84871841,-73.93633091,80,10,10,8,10,8,8,0.04
6794912,40.86623489,-73.91993219,80,10,8,10,8,8,10,0.04
7074504,40.67102354,-73.98079878,100,10,10,10,10,8,8,0.04
6973159,40.69360302,-73.94653232,100,10,10,10,10,8,10,0.04
7932428,40.69558937,-73.92783366,100,10,8,10,10,8,10,0.04
3937630,40.69902767,-73.93005135,100,10,6,8,8,8,8,0.04
346579,40.71741514,-73.98312735,100,10,10,10,10,8,10,0.04
9574282,40.7136541,-73.99091122,80,10,8,10,10,8,8,0.05
9046095,40.73208208,-74.00393413,80,10,6,10,10,8,6,0.05
9884516,40.7534167,-73.92370176,80,10,6,10,10,8,8,0.05
9435428,40.79334921,-73.94583358,80,10,8,10,10,8,8,0.05
8770660,40.84478388,-73.94131532,80,10,8,10,10,8,8,0.05
2342957,40.6660931,-73.95038165,90,10,10,10,10,8,10,0.05
1014305,40.67912589,-73.97930631,100,10,10,10,10,8,10,0.05
7074118,40.69815039,-73.9212371,100,10,10,10,10,8,10,0.05
8863296,40.72417044,-73.98390732,100,10,10,10,10,8,10,0.05
19051187,40.68619875,-73.86606347,87,10,10,10,9,8,9,2.05
3616003,40.63980517,-73.9571197,92,10,9,9,10,8,9,2.13
4033444,40.66649226,-73.92854964,94,10,10,10,10,8,9,2.18
1984254,40.79814175,-73.93929389,94,10,9,10,10,8,9,2.21
1317612,40.65393139,-73.95844803,94,10,10,10,10,8,9,2.25
7134343,40.67994795,-73.90921868,93,10,10,10,10,8,10,2.31
8239352,40.72193825,-73.91138173,93,10,10,10,10,8,9,2.33
2385779,40.68842884,-73.93678253,95,10,10,10,10,8,10,2.36
970302,40.68446413,-73.92528627,90,10,9,10,10,8,9,2.38
17325829,40.68336279,-73.95420583,95,10,9,10,10,8,9,2.38
